code,name_en,population,beds,icu_beds,utilization_pct,beds_per_100k,icu_beds_per_100k
TH,Thuringia,2126846,15076.0,659.0,67.54398717729713,708.8,31.0
HH,Hamburg,1892122,12846.0,818.0,73.3178922493863,678.9,43.2
SL,Saarland,992666,6645.0,513.0,69.81333168413784,669.4,51.7
ST,Saxony-Anhalt,2186643,13929.0,723.0,68.80612735624995,637.0,33.1
MV,Mecklenburg-Vorpommern,1628378,10194.0,636.0,68.53486203272944,626.0,39.1
NW,North Rhine-Westphalia,18139116,112610.0,6343.0,71.22173387847256,620.8,35.0
SN,Saxony,4086152,24718.0,1541.0,69.81420006716861,604.9,37.7
HB,Bremen,684864,4131.0,207.0,77.70442660405952,603.2,30.2
BB,Brandenburg,2573135,14970.0,687.0,70.15795975512668,581.8,26.7
RP,Rhineland-Palatinate,4159150,23288.0,1295.0,67.35231973195673,559.9,31.1
BY,Bavaria,13369393,74565.0,3685.0,71.16328587083623,557.7,27.6
HE,Hesse,6391360,34837.0,1868.0,70.94545596104913,545.1,29.2
BE,Berlin,3755251,20172.0,1444.0,76.59763024292455,537.2,38.5
SH,Schleswig-Holstein,2953270,15562.0,803.0,73.79199067626973,526.9,27.2
NI,Lower Saxony,8140242,40585.0,2153.0,72.47403977108758,498.6,26.4
BW,Baden-Wuerttemberg,11280257,52796.0,2783.0,71.29321752270565,468.0,24.7
